date,price,daily_return
2018-10-16,20.27203,0.03178
2018-10-17,20.28164,0.00047
2018-10-18,19.6091,-0.03316
2018-10-19,19.40735,-0.01029
2018-10-22,19.49381,0.00446
2018-10-23,19.13833,-0.01824
2018-10-24,18.13915,-0.05221
2018-10-25,18.39855,0.0143
2018-10-26,18.03346,-0.01984
2018-10-29,17.6972,-0.01865
2018-10-30,18.40816,0.04017
2018-10-31,18.94618,0.02923
2018-11-01,19.15755,0.01116
2018-11-02,19.62832,0.02457
2018-11-05,19.54185,-0.00441
2018-11-06,19.5995,0.00295
2018-11-07,19.89733,0.0152
2018-11-08,19.54185,-0.01787
2018-11-09,19.16716,-0.01917
2018-11-12,18.73481,-0.02256
2018-11-13,18.81167,0.0041
2018-11-14,18.78285,-0.00153
2018-11-15,18.9654,0.00972
2018-11-16,18.64834,-0.01672
2018-11-19,18.31208,-0.01803
2018-11-20,17.91817,-0.02151
2018-11-21,18.26404,0.0193
2018-11-23,18.06228,-0.01105
2018-11-26,18.5907,0.02926
2018-11-27,18.47541,-0.0062
2018-11-28,19.07108,0.03224
2018-11-29,18.975,-0.00504
2018-11-30,18.93657,-0.00203
2018-12-03,19.31127,0.01979
2018-12-04,18.32169,-0.05124
2018-12-06,17.94699,-0.02045
2018-12-07,17.50504,-0.02463
2018-12-10,17.41858,-0.00494
2018-12-11,17.16878,-0.01434
2018-12-12,17.49544,0.01903
2018-12-13,17.38975,-0.00604
2018-12-14,16.96702,-0.02431
2018-12-17,16.60193,-0.02152
2018-12-18,16.71722,0.00694
2018-12-19,16.50585,-0.01264
2018-12-20,16.19841,-0.01863
2018-12-21,15.74685,-0.02788
2018-12-24,15.4298,-0.02013
2018-12-26,16.12155,0.04483
2018-12-27,16.1888,0.00417
2018-12-28,16.30674,0.00729
2018-12-31,16.31648,0.0006
2019-01-02,16.39447,0.00478
2019-01-03,15.95585,-0.02675
2019-01-04,16.46269,0.03177
2019-01-07,16.73561,0.01658
2019-01-08,16.95979,0.0134
2019-01-09,17.20346,0.01437
2019-01-10,17.20346,0.0
2019-01-11,17.03777,-0.00963
2019-01-14,16.93055,-0.00629
2019-01-15,17.31068,0.02245
2019-01-16,17.45689,0.00845
2019-01-17,17.54461,0.00503
2019-01-18,17.93449,0.02222
2019-01-22,17.33992,-0.03315
2019-01-23,17.33992,0.0
2019-01-24,17.63233,0.01686
2019-01-25,18.04171,0.02322
2019-01-28,17.7298,-0.01729
2019-01-29,17.47638,-0.01429
2019-01-30,17.81753,0.01952
2019-01-31,17.99297,0.00985
2019-02-01,18.04171,0.00271
2019-02-04,18.20741,0.00918
2019-02-05,18.40235,0.01071
2019-02-06,18.44133,0.00212
2019-02-07,18.21715,-0.01216
2019-02-08,18.04171,-0.00963
2019-02-11,18.10994,0.00378
2019-02-12,18.74349,0.03498
2019-02-13,18.87995,0.00728
2019-02-14,18.82147,-0.0031
2019-02-15,19.13337,0.01657
2019-02-19,19.17236,0.00204
2019-02-20,19.30882,0.00712
2019-02-21,19.2016,-0.00555
2019-02-22,19.42578,0.01167
2019-02-25,19.61098,0.00953
2019-02-26,19.533,-0.00398
2019-02-27,19.33806,-0.00998
2019-02-28,19.02616,-0.01613
2019-03-01,19.26983,0.01281
2019-03-04,19.26008,-0.00051
2019-03-05,19.2016,-0.00304
2019-03-06,19.02616,-0.00914
2019-03-07,18.56804,-0.02408
2019-03-08,18.52418,-0.00236
2019-03-11,18.89944,0.02026
2019-03-12,19.08464,0.0098
2019-03-13,19.21135,0.00664
2019-03-14,19.08464,-0.0066
2019-03-15,19.25034,0.00868
2019-03-18,19.40629,0.0081
2019-03-19,19.49401,0.00452
2019-03-20,19.46477,-0.0015
2019-03-21,19.64022,0.00901
2019-03-22,19.26983,-0.01886
2019-03-25,19.27958,0.00051
2019-03-26,19.49401,0.01112
2019-03-27,19.31857,-0.009
2019-03-28,19.48426,0.00858
2019-03-29,19.57199,0.0045
2019-04-01,19.96186,0.01992
2019-04-02,20.08858,0.00635
2019-04-03,20.44921,0.01795
2019-04-04,20.49795,0.00238
2019-04-05,20.68314,0.00903
2019-04-08,20.6734,-0.00047
2019-04-09,20.59542,-0.00377
2019-04-10,20.75138,0.00757
2019-04-11,20.68314,-0.00329
2019-04-12,20.87808,0.00943
2019-04-15,20.89758,0.00093
2019-04-16,21.14126,0.01166
2019-04-17,21.19974,0.00277
2019-04-18,21.21923,0.00092
2019-04-22,21.07303,-0.00689
2019-04-23,21.16074,0.00416
2019-04-24,20.8196,-0.01612
2019-04-25,20.6734,-0.00702
2019-04-26,20.78062,0.00519
2019-04-29,20.87808,0.00469
2019-04-30,20.96581,0.0042
2019-05-01,20.8196,-0.00697
2019-05-02,20.80985,-0.00047
2019-05-03,21.20948,0.0192
2019-05-06,20.86834,-0.01608
2019-05-07,20.1763,-0.03316
2019-05-08,20.14706,-0.00145
2019-05-09,19.92288,-0.01113
2019-05-10,20.07883,0.00783
2019-05-13,19.16261,-0.04563
2019-05-14,19.54274,0.01984
2019-05-15,19.64996,0.00549
2019-05-16,19.74743,0.00496
2019-05-17,19.40629,-0.01728
2019-05-20,18.91894,-0.02511
2019-05-21,19.10413,0.00979
2019-05-22,18.96767,-0.00714
2019-05-23,18.47058,-0.02621
2019-05-24,18.71425,0.01319
2019-05-28,18.50956,-0.01094
2019-05-29,18.46083,-0.00263
2019-05-30,18.74349,0.01531
2019-05-31,18.32437,-0.02236
2019-06-03,18.23664,-0.00479
2019-06-04,18.85071,0.03367
2019-06-05,18.96767,0.0062
2019-06-06,18.86046,-0.00565
2019-06-07,19.25034,0.02067
2019-06-10,19.45502,0.01063
2019-06-11,19.60123,0.00752
2019-06-12,19.29907,-0.01542
2019-06-13,19.42578,0.00657
2019-06-14,19.01641,-0.02107
2019-06-17,19.2211,0.01076
2019-06-18,19.49401,0.0142
2019-06-19,19.80592,0.016
2019-06-20,20.10807,0.01526
2019-06-21,19.98136,-0.0063
2019-06-24,19.95212,-0.00146
2019-06-25,19.83516,-0.00586
2019-06-26,19.88389,0.00246
2019-06-27,20.17946,0.01486
2019-06-28,20.37586,0.00973
2019-07-01,20.70973,0.01639
2019-07-02,20.61153,-0.00474
2019-07-03,20.71955,0.00524
2019-07-05,20.3955,-0.01564
2019-07-08,20.18928,-0.01011
2019-07-09,19.81614,-0.01848
2019-07-10,19.92415,0.00545
2019-07-11,19.81614,-0.00542
2019-07-12,19.70812,-0.00545
2019-07-15,19.65902,-0.00249
2019-07-16,19.53136,-0.00649
2019-07-17,19.61974,0.00452
2019-07-18,19.56082,-0.003
2019-07-19,19.65902,0.00502
2019-07-22,19.80632,0.00749
2019-07-23,20.05181,0.01239
2019-07-24,20.13036,0.00392
2019-07-25,19.80632,-0.0161
2019-07-26,19.66884,-0.00694
2019-07-29,19.54118,-0.00649
2019-07-30,19.551,0.0005
2019-07-31,19.26623,-0.01457
2019-08-01,18.92254,-0.01784
2019-08-02,18.55921,-0.0192
2019-08-05,17.69508,-0.04656
2019-08-06,18.17625,0.02719
2019-08-07,18.12715,-0.0027
2019-08-08,18.5985,0.026
2019-08-09,18.14678,-0.02429
2019-08-12,17.95039,-0.01082
2019-08-13,18.46102,0.02845
2019-08-14,17.74418,-0.03883
2019-08-15,17.84238,0.00553
2019-08-16,18.1566,0.01761
2019-08-19,18.31372,0.00865
2019-08-20,18.22534,-0.00483
2019-08-21,18.47084,0.01347
2019-08-22,18.37264,-0.00532
2019-08-23,17.82274,-0.02993
2019-08-26,18.08787,0.01488
2019-08-27,17.92093,-0.00923
2019-08-28,17.94057,0.0011
2019-08-29,18.26462,0.01806
2019-08-30,18.46102,0.01075
2019-09-03,18.17625,-0.01543
2019-09-04,18.49047,0.01729
2019-09-05,18.99128,0.02708
2019-09-06,19.06984,0.00414
2019-09-09,19.29569,0.01184
2019-09-10,19.49208,0.01018
2019-09-11,19.82595,0.01713
2019-09-12,20.09109,0.01337
2019-09-13,20.11073,0.00098
2019-09-16,19.96343,-0.00732
2019-09-17,19.90451,-0.00295
2019-09-18,19.94379,0.00197
2019-09-19,19.88488,-0.00295
2019-09-20,19.63938,-0.01235
2019-09-23,19.6001,-0.002
2019-09-24,19.48227,-0.00601
2019-09-25,19.59028,0.00554
2019-09-26,19.57064,-0.001
2019-09-27,19.39389,-0.00903
2019-09-30,19.65902,0.01367
2019-10-01,19.44298,-0.01099
2019-10-02,18.89309,-0.02828
2019-10-03,19.19749,0.01611
2019-10-04,19.39389,0.01023
2019-10-07,19.29569,-0.00506
2019-10-08,18.93236,-0.01883
2019-10-09,19.1484,0.01141
2019-10-10,18.99128,-0.00821
2019-10-11,19.47245,0.02534
2019-10-14,19.38407,-0.00454
2019-10-15,19.78668,0.02077
2019-10-16,19.80632,0.00099
2019-10-17,19.86523,0.00297
2019-10-18,19.93397,0.00346
2019-10-21,20.06163,0.0064
2019-10-22,19.91433,-0.00734
2019-10-23,20.03217,0.00592
2019-10-24,20.15,0.00588
2019-10-25,20.33658,0.00926
2019-10-28,20.65081,0.01545
2019-10-29,20.63117,-0.00095
2019-10-30,20.53298,-0.00476
2019-10-31,20.41514,-0.00574
2019-11-01,20.92576,0.02501
2019-11-04,21.22035,0.01408
2019-11-05,21.28909,0.00324
2019-11-06,21.0927,-0.00922
2019-11-07,21.34801,0.0121
2019-11-08,21.21053,-0.00644
2019-11-11,21.06324,-0.00694
2019-11-12,21.17125,0.00513
2019-11-13,20.98468,-0.00881
2019-11-14,20.9945,0.00047
2019-11-15,21.08287,0.00421
2019-11-18,21.05342,-0.0014
2019-11-19,20.85702,-0.00933
