date,price,daily_return,paper_count
2019-04-12,20.87808,0.00943,8
2019-04-15,20.89758,0.00093,18
2019-04-16,21.14126,0.01166,16
2019-04-17,21.19973,0.00277,17
2019-04-18,21.21923,0.00092,17
2019-04-22,21.07303,-0.00689,18
2019-04-23,21.16075,0.00416,10
2019-04-24,20.8196,-0.01612,7
2019-04-25,20.6734,-0.00702,24
2019-04-26,20.78062,0.00519,17
2019-04-29,20.87808,0.00469,7
2019-04-30,20.96581,0.0042,18
2019-05-01,20.8196,-0.00697,11
2019-05-02,20.80986,-0.00047,15
2019-05-03,21.20949,0.0192,11
2019-05-06,20.86834,-0.01608,6
2019-05-07,20.1763,-0.03316,18
2019-05-08,20.14706,-0.00145,15
2019-05-09,19.92288,-0.01113,18
2019-05-10,20.07883,0.00783,20
2019-05-13,19.16261,-0.04563,18
2019-05-14,19.54275,0.01984,30
2019-05-15,19.64996,0.00549,21
2019-05-16,19.74743,0.00496,16
2019-05-17,19.40629,-0.01728,16
2019-05-20,18.91893,-0.02511,21
2019-05-21,19.10413,0.00979,15
2019-05-22,18.96767,-0.00714,21
2019-05-23,18.47058,-0.02621,14
2019-05-24,18.71425,0.01319,23
2019-05-28,18.50956,-0.01094,26
2019-05-29,18.46083,-0.00263,31
2019-05-30,18.74349,0.01531,25
2019-05-31,18.32437,-0.02236,31
2019-06-03,18.23664,-0.00479,20
2019-06-04,18.85071,0.03367,35
2019-06-05,18.96767,0.0062,19
2019-06-06,18.86045,-0.00565,17
2019-06-07,19.25034,0.02067,19
2019-06-10,19.45502,0.01063,21
2019-06-11,19.60123,0.00751,20
2019-06-12,19.29907,-0.01542,15
2019-06-13,19.42578,0.00657,12
2019-06-14,19.01641,-0.02107,11
2019-06-17,19.22109,0.01076,8
2019-06-18,19.49401,0.0142,17
2019-06-19,19.80591,0.016,12
2019-06-20,20.10807,0.01526,17
2019-06-21,19.98136,-0.0063,25
2019-06-24,19.95212,-0.00146,22
2019-06-25,19.83516,-0.00586,20
2019-06-26,19.88389,0.00246,22
2019-06-27,20.17946,0.01486,16
2019-06-28,20.37586,0.00973,9
2019-07-01,20.70973,0.01639,19
2019-07-02,20.61153,-0.00474,21
2019-07-03,20.71955,0.00524,14
2019-07-05,20.3955,-0.01564,13
2019-07-08,20.18928,-0.01011,12
2019-07-09,19.81613,-0.01848,20
2019-07-10,19.92415,0.00545,11
2019-07-11,19.81613,-0.00542,17
2019-07-12,19.70812,-0.00545,7
2019-07-15,19.65902,-0.00249,11
2019-07-16,19.53136,-0.00649,14
2019-07-17,19.61974,0.00452,10
2019-07-18,19.56082,-0.003,8
2019-07-19,19.65902,0.00502,16
2019-07-22,19.80631,0.00749,32
2019-07-23,20.05181,0.01239,12
